City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
17,Semey,KZ,5.0,broken clouds,50.41,80.23,Hotel Zhana-Tau
39,College,US,8.6,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
48,Stepnogorsk,KZ,8.4,overcast clouds,52.35,71.89,Gostinitsa Stepnogorsk
63,Barrow,US,6.8,overcast clouds,71.29,-156.79,King Eider Inn
211,Vikulovo,RU,6.42,overcast clouds,56.82,70.61,"Ooo ""Sistema Stroy"""
219,Barsovo,RU,5.0,broken clouds,61.17,73.17,Dipanjan Goswami
239,Teya,RU,8.51,broken clouds,60.38,92.63,
267,Chifeng,CN,5.27,clear sky,42.27,118.96,Junyu Tiancheng Hotel
278,Cherskiy,RU,5.59,scattered clouds,68.75,161.3,Gostinitsa
353,Kommunisticheskiy,RU,9.46,scattered clouds,61.68,64.48,
398,Bestobe,KZ,8.17,broken clouds,52.5,73.1,
437,Novochernorechenskiy,RU,6.84,clear sky,56.27,91.08,
467,Chumikan,RU,5.11,overcast clouds,54.72,135.31,Fortuna
469,Lishu,CN,6.85,clear sky,43.3,124.33,Shengyuan Hotel Fast Food
472,Igarka,RU,6.71,overcast clouds,67.47,86.58,"Zapolyar'ye, Gostinitsa"
